speyeria_diana
Record.Number,Scientific.Name,Sex,Observation.Date,Verified.Date,Specimen.Type,Organism.Type,Status,Region(s),Lat/Long,Longitude,Precision,Location.Notes,Observation.Notes,Submitter,Data.Source,Partner.Project,Updated.Date
1051409,Speyeria diana,M,06/26/2015,07/01/2015,Photograph,butterfly,Resident,United StatesTennesseeBlount County,35.601636637493,-84.054574250247,point record,On north side of Gribble Rd on private property. Seen while monitoring conservation easement property for Foothills Land Conservancy.,Resting in oaks at edge of meadow. Was previously lower down in the meadow. I did not observe it nectaring.,tom howe (5848),,,07/01/2015 03:45:55
1052617,Speyeria diana,M,07/06/2015,07/07/2015,Photograph,butterfly,Resident,United StatesTennesseeClaiborne County,36.538877,-83.778135,point record,county added by BAMONA,Sunny warm day.  Butterfly on Cone flower,peggyt67 (54935),,,07/07/2015 17:26:04
1056276,Speyeria diana,F,07/18/2015,07/21/2015,Photograph,butterfly,Resident,United StatesVirginiaPatrick County,36.809392502911,-80.349657213563,point record,,,curtis.lehman (46),,,07/21/2015 16:07:27
1059215,Speyeria diana,M,08/01/2015,08/07/2015,Photograph,butterfly,Resident,United StatesGeorgiaCoweta County,33.381066253899,-84.621133889027,point record,,,Candler (62143),,,08/07/2015 10:01:16
1062016,Speyeria diana,M,08/15/2015,08/25/2015,Photograph,butterfly,Resident,United StatesTennesseeCumberland County,36.043544,-84.89614,point record,,"Sunny, hot.  On butterfly bush.   Fairfield Glade on the Cumberland Plateau, Tennessee
",janakcyrus (65426),,,08/25/2015 12:06:49
1062019,Speyeria diana,M,08/16/2015,08/25/2015,Photograph,butterfly,Resident,United StatesTennesseeCumberland County,36.043544,-84.89614,point record,,,janakcyrus (65426),,,08/25/2015 12:07:43
1062073,Speyeria diana,M,08/22/2015,12/09/2020,Photograph,butterfly,Resident,United StatesNorth CarolinaBuncombe County,35.655209101524,-82.298944322811,point record,,Seen feeding on butterfly bush and on the ground in driveway yesterday and then today in the yard on various plants.  Open yard surrounded by forested area.,bubbleshell (65444),,,12/09/2020 09:59:24
1063811,Speyeria diana,F,09/04/2015,09/10/2015,Photograph,butterfly,Resident,United StatesVirginiaMontgomery County,37.2818904,-80.4681963,point record,,"Healthy looking butterfly, nice weather, sunny. ",marti2er (66314),,,09/10/2015 19:47:19
1064212,Speyeria diana,F,09/06/2015,09/06/2015,Photograph,butterfly,Resident,United StatesAlabamaElmore County,32.681961,-86.252877,point record,on coneflowers in flowerbed along fence between house and barn,"on coneflowers, preferred the purple coneflowers to other colors, fflew to patch of violets, then back to the coneflowers",stomlins701 (18066),,,09/06/2015 23:07:57
1066900,Speyeria diana,F,09/26/2015,09/27/2015,Photograph,butterfly,Resident,United StatesTennesseeSevier County,35.693982405675,-83.630077133731,point record,Sunning on a rock near the main cabin.,,Melinda Fawver (6281),,,09/27/2015 16:49:38
1084048,Speyeria diana,M,06/08/2016,07/09/2016,Photograph,butterfly,Resident,United StatesGeorgiaCoweta County,33.357999,-84.841441,point record,,Each sighting he repeatedly landed only on zinnias,n8hc (82211),,,07/09/2016 13:34:25
1085036,Speyeria diana,M,06/15/2016,06/16/2016,Photograph,butterfly,Resident,United StatesTennesseeSequatchie County,35.356778,-85.269392,point record,,This is a new species to me! I am so excited!,lilkriskattn (17932),,,06/16/2016 17:40:07
1085124,Speyeria diana,M,06/14/2016,06/16/2016,Photograph,butterfly,Resident,United StatesTennesseeCocke County,35.790439121793,-83.224377380077,point record,"151 Sonshine Ridge Rd, Cosby, TN","male on buddleia, also saw female in fast flight over cabin",stomlins701 (18066),,,06/16/2016 11:02:42
1085403,Speyeria diana,F,06/18/2016,06/19/2016,Photograph,butterfly,Resident,United StatesTennesseeSequatchie County,35.356778,-85.269392,point record,,,lilkriskattn (17932),,,06/19/2016 20:48:57
1085405,Speyeria diana,M,06/18/2016,06/19/2016,Photograph,butterfly,Resident,United StatesTennesseeSequatchie County,35.356778,-85.269392,point record,,,lilkriskattn (17932),,,06/19/2016 20:47:55
1085457,Speyeria diana,M,06/19/2016,06/19/2016,Photograph,butterfly,Resident,United StatesTennesseeSequatchie County,35.356778,-85.269392,point record,,,lilkriskattn (17932),,,06/19/2016 20:37:02
1085599,Speyeria diana,M,06/15/2016,06/20/2016,Photograph,butterfly,Resident,United StatesTennesseeCocke County,35.790404360493,-83.224119938017,point record,"151 Sonshine Ridge Rd, Cosby, TN","on buddleia; chased and seemingly sparred with a Speyeria cybele, also on the plant",stomlins701 (18066),,,06/20/2016 07:20:10
1085611,Speyeria diana,F,06/20/2016,06/20/2016,Photograph,butterfly,Resident,United StatesTennesseeSequatchie County,35.356778,-85.269392,point record,,,lilkriskattn (17932),,,06/20/2016 15:57:51
1085708,Speyeria diana,M,06/21/2016,06/21/2016,Photograph,butterfly,Resident,United StatesTennesseeSequatchie County,35.356778,-85.269392,point record,,,lilkriskattn (17932),,,06/21/2016 20:11:57
1086616,Speyeria diana,M,06/25/2016,06/28/2016,Photograph,butterfly,Resident,United StatesArkansasLogan County,35.16709,-93.6452539,point record,,puddling on dirt road,CA Ivy (16816),,,06/28/2016 15:04:40
1091415,Speyeria diana,M,07/14/2016,09/13/2016,Photograph,butterfly,Resident,United StatesGeorgiaRabun County,34.962222608434,-83.476043113207,point record,On the northwestern edge of the rock outcrops on the southwest face of Wolf Knob.  -83.4771 34.9623,Sunny afternoon after very brief rain shower.  Pollinating Pycnanthemum sp. on the edge of a southwest facing rock outcrop at about 3500' elevation.,Forestwatch (85955),,,09/13/2016 12:08:43
1096513,Speyeria diana,M,08/13/2016,08/15/2016,Photograph,butterfly,Resident,United StatesTennesseePutnam County,36.131808725008,-85.24201725325,point record,,,elegrand (86231),,,08/15/2016 18:11:17
1096995,Speyeria diana,M,08/13/2016,01/01/2021,Photograph,butterfly,Resident,United StatesVirginiaGiles County,37.433735010877,-80.537530847489,point record,"very near historic town on Glen Alton

",Nectaring on lone thistle on roadside ,drerbium (87584),,,01/01/2021 21:07:06
1105014,Speyeria diana,F,09/15/2016,10/02/2016,Photograph,butterfly,Resident,United StatesTennesseeCocke County,35.789742943304,-83.225106990917,point record,"151 Sonshine Ridge Rd, Cosby, TN 37722",on butterfly bush,stomlins701 (18066),,,10/02/2016 22:00:12
1105034,Speyeria diana,F,09/04/2016,10/02/2016,Photograph,butterfly,Resident,United StatesAlabamaElmore County,32.681961,-86.252877,point record,,"female on butterfly bush; this is the second year I have seen a Diana Fritillary in the garden, seems like there must be a colony nearby ",stomlins701 (18066),,,10/02/2016 23:24:10
1107574,Speyeria diana,F,07/28/2016,10/28/2016,Photograph,butterfly,Unknown,United StatesOklahomaWagoner County,35.8939637,-95.7971542,point record,caught via net on Lake Bixhoma shoreline via kayak,overcast and just beginning to sprinkle/rain,David Jones (92819),,,10/28/2016 19:49:12
1113388,Speyeria diana,F,09/05/2015,05/13/2017,Photograph,butterfly,Resident,United StatesStephens CountyGeorgia,34.662848540493,-83.305461418894,point record,"2104 Yonah Dam Road. Toccoa, GA 30577
Tugaloo Bend Heritage Site","On Ironweed, wetland margin",sedges (77054),,,05/13/2017 10:45:40
1116584,Speyeria diana,F,05/20/2012,05/15/2017,Photograph,butterfly,Resident,United States,35.1838227,-91.959649,point record,This home garden is located on 15 acres in White County.,male and female in photo,lorispencer (15),,,05/15/2017 08:12:35
1116707,Speyeria diana,M,05/16/2017,05/20/2017,Photograph,butterfly,Resident,United StatesTroup CountyGeorgia,33.078062,-84.867464,point record,,"Quick moving butterfly seen on two successive hot,sunny days near flower/ rose garden and wooded area.",GEARHEADGRRL (104516),,,05/20/2017 13:50:30
1116852,Speyeria diana,F,05/20/2012,05/23/2017,Photograph,butterfly,Resident,White CountyUnited StatesArkansas,35.18389615951913,-91.95953607559204,point record,"White County, Arkansas",,Debbie Miller (104514),,,05/23/2017 22:49:10
1118083,Speyeria diana,M,06/09/2016,06/26/2017,Photograph,butterfly,Resident,Walker CountyUnited StatesGeorgia,34.84797437672909,-85.42642593383789,point record,,Found him along a trail in the woods.,jpfitzer (105042),,,06/26/2017 10:05:25
1119277,Speyeria diana,F,06/06/2017,06/06/2017,Photograph,butterfly,Resident,Sebastian CountyArkansasUnited States,35.3349543,-94.2971119,point record,,nectaring Bee Balm,CA Ivy (16816),,,06/06/2017 20:52:11
1119513,Speyeria diana,M,06/08/2017,06/08/2017,Photograph,butterfly,Resident,Garland CountyUnited StatesArkansas,34.601916,-92.99543260000002,point record,"Garland County,Arkansas.",single male noted on butterfly bush,txpfc (105478),,,06/08/2017 19:20:42
1119834,Speyeria diana,M,06/11/2017,06/12/2017,Photograph,butterfly,Resident,Cherokee CountyNorth CarolinaUnited States,35.095927498493815,-83.9102053642273,point record,,Not sure whether it is a butterfly or moth.  Thanks,Bremsech (105566),,,06/12/2017 20:59:39
1120013,Speyeria diana,M,05/27/2017,06/20/2017,Photograph,butterfly,Resident,Coweta CountyUnited StatesGeorgia,33.296259544203195,-84.80971014127135,point record,"Between Grantville and Moreland, Georgia in Coweta County, GA, USA",Butterfly was moving around the flowers in the yard and seemed to prefer the dahlias along the walkway.   The area is surrounded by moist wooded acres and this butterfly had never been see in the yard.  ,Linda L Junkin (105607),,,06/20/2017 14:28:04
1122985,Speyeria diana,M,06/26/2017,06/29/2017,Photograph,butterfly,Resident,Sequatchie CountyUnited StatesTennessee,35.3567702,-85.26963080000002,point record,,,lilkriskattn (17932),,,06/29/2017 10:29:05
1124197,Speyeria diana,F,07/04/2017,01/02/2021,Photograph,butterfly,Resident,United StatesVirginiaCraig County,37.586448163003,-80.13874053955078,point record,called Sweet Springs Turnpike. Is on East side of Potts Mountain ,Day clouding up. Female Diana landing on ground.,drerbium (87584),,,01/02/2021 14:27:16
1124473,Speyeria diana,M,06/24/2017,01/01/2021,Photograph,butterfly,Resident,United StatesVirginiaCraig County,37.54290574070237,-80.2276611328125,point record,,Several males landing on ground along road on sunny afternoon ,drerbium (87584),,,01/01/2021 17:22:52
1127457,Speyeria diana,M,07/17/2017,07/20/2017,Photograph,butterfly,Resident,Sequatchie CountyUnited StatesTennessee,35.3567842,-85.26961340000003,point record,,,lilkriskattn (17932),,,07/20/2017 18:04:36
1127987,Speyeria diana,M,07/12/2017,07/22/2017,Photograph,butterfly,Resident,Wagoner CountyUnited StatesOklahoma,35.892945488181375,-95.80227646812136,point record,,"Sunny, 95 degrees, 10 mph south wind. Caught nectaring on buttonbush on shady side of lake. In five years of paddling/collecting on this lake, this is only the second Diana I have ever seen there (other specimen, a female, recorded on this site last year). Specimen was worn/frayed, so it was released.",David Jones (92819),,,07/22/2017 21:12:03
1128365,Speyeria diana,F,06/21/2017,07/23/2017,Photograph,butterfly,Resident,Cocke CountyTennesseeUnited States,35.78883747570431,-83.22217047214502,point record,,,stomlins701 (18066),,,07/23/2017 16:21:02
1128390,Speyeria diana,M,06/19/2017,07/23/2017,Photograph,butterfly,Resident,Cocke CountyTennesseeUnited States,35.78900619610667,-83.22213384652707,point record,,,stomlins701 (18066),,,07/23/2017 16:44:25
1128393,Speyeria diana,M,06/21/2017,07/23/2017,Photograph,butterfly,Resident,Cocke CountyTennesseeUnited States,35.788837475704206,-83.22218656539917,point record,,,stomlins701 (18066),,,07/23/2017 16:53:08
1128401,Speyeria diana,F,07/20/2017,07/23/2017,Photograph,butterfly,Resident,Cocke CountyTennesseeUnited States,35.788953978240706,-83.22217676187131,point record,,,stomlins701 (18066),,,07/23/2017 17:05:54
1128577,Speyeria diana,M,07/24/2017,07/24/2017,Photograph,butterfly,Resident,Pickens CountySouth CarolinaUnited States,34.93458,-82.56370666666669,point record,,Noticed this butterfly on butterfly weed and had to identify it. ,Penny Jones (107910),,,07/24/2017 21:34:59
1129513,Speyeria diana,M,06/11/2017,07/29/2017,Photograph,butterfly,Resident,Cocke CountyUnited StatesTennessee,35.9388381,-82.94703800000002,point record,Found in gravel parking lot puddling on human excrement.,,froghavenfarm (16923),,,07/29/2017 09:51:52
1132356,Speyeria diana,M,08/06/2017,08/06/2017,Photograph,butterfly,Resident,Putnam CountyUnited StatesTennessee,36.1820515,-85.49869969999997,point record,,,ButterBelle (63450),,,08/06/2017 12:52:38
1134627,Speyeria diana,M,08/15/2017,12/08/2020,Photograph,butterfly,Resident,United StatesNorth CarolinaAshe County,36.287613994600704,-81.37045211624354,point record,Within 40 yards of mile post 274 - Blue Ridge Parkway along edge of wooded area,We have observed this butterfly for several days around mile post 274 on the Blue Ridge Parkway. Able to photograph today - somewhat more tattered than prior observations. Temperature 72 degrees on a partly sunny day. Nectaring on a very busy common milkweed as he had to nectar with 2 great Spangled Fritillaries and a Monarch. He flew off several times chased by them but always returned to Milkweed.,Cheryl Patteson (109361),,,12/08/2020 05:50:50
1134876,Speyeria diana,F,07/15/2017,09/27/2017,Photograph,butterfly,Resident,Coweta CountyUnited StatesGeorgia,33.22854151258964,-84.82915163040161,point record,,"Overcast day, feeding on butterfly bush.",Darwin B Palmer Jr (109130),,,09/27/2017 11:24:06
1138739,Speyeria diana,F,07/06/2015,09/01/2017,Photograph,butterfly,Resident,Marion CountyUnited StatesTennessee,35.071256,-85.37002389999998,point record,"private residence, deciduous woods with host plant for Diana Fritillary, butterfly garden",She visited my butterfly garden.,Tommie Rogers (397),,,09/01/2017 18:20:32
1141632,Speyeria diana,F,09/15/2017,01/04/2021,Photograph,butterfly,Resident,United StatesVirginiaGiles County,37.341035108503185,-80.61712190508842,point record,,Feeding on thistle blossoms,Joe Saunders (17734),,,01/04/2021 20:31:31
1143055,Speyeria diana,M,06/08/2017,09/24/2017,Photograph,butterfly,Resident,Garland CountyUnited StatesArkansas,34.602718,-92.99447049999998,point record,,male,pamw (111561),,,09/24/2017 08:04:46
1146081,Speyeria diana,F,10/11/2017,10/15/2017,Photograph,butterfly,Resident,Sevier CountyUnited StatesTennessee,35.685689,-83.53654399999999,point record,,butterfly appeared to be somewhat wet,njoal (112210),,,10/15/2017 07:46:15
1146148,Speyeria diana,F,09/20/2017,10/14/2017,Photograph,butterfly,Resident,Cocke CountyTennesseeUnited States,35.78929339375605,-83.22224113488767,point record,,"Worn female on wildflowers by mailbox. This is the latest date I have seen one in Cosby, TN",stomlins701 (18066),,,10/14/2017 19:37:43
1159823,Speyeria diana,F,06/02/2018,06/03/2018,Photograph,butterfly,Resident,Saline CountyUnited StatesArkansas,34.510555639999986,-92.39399267999994,point record,,"Partly cloudy, temperatures around 92 with heat index of 102F. Fed for 20 minutes on butterfly bush, coneflowers, and lantana.",kayhicks (115018),,,06/03/2018 05:07:59
1162215,Speyeria diana,F,06/01/2018,06/13/2018,Photograph,butterfly,Resident,Howard CountyUnited StatesArkansas,33.9896983,-93.85880509999998,point record,Stone Road Glade Natural Area,Discovered by Craig Marks.,wallap74 (94049),,,06/13/2018 19:45:12
1163646,Speyeria diana,M,06/16/2018,06/21/2018,Photograph,butterfly,Resident,Cocke CountyUnited StatesTennessee,35.854082,-82.977056,point record,,Nectaring on a roadside butterfly weed on Round Mountain Road west of Max Patch Mountain.,willstuart2001 (114828),,,06/21/2018 17:24:55
1163681,Speyeria diana,M,06/01/2018,06/19/2018,Photograph,butterfly,Resident,Howard CountyUnited StatesArkansas,34.083120211484484,-93.90422332009888,point record,"34.083265, -93.904207
Stone Road Glade",,Jeff Trahan (256),,,06/19/2018 14:54:41
1163684,Speyeria diana,F,06/01/2018,06/19/2018,Photograph,butterfly,Resident,Howard CountyUnited StatesArkansas,34.08725975258442,-93.9053069325409,point record,"34.087339, -93.905341
Stone Road Glade",,Jeff Trahan (256),,,06/19/2018 14:53:57
1167684,Speyeria diana,M,07/05/2018,01/04/2021,Photograph,butterfly,Resident,United StatesVirginiaDickenson County,37.22949661390972,-82.4849651099097,point record,,,James Fox (628),,,01/04/2021 20:26:03
1168376,Speyeria diana,M,07/08/2018,12/07/2020,Photograph,butterfly,Resident,United StatesNorth CarolinaBuncombe County,35.54793996229569,-82.55131304446303,point record,NC Arboretum Asheville NC. ,"On a monarda, feeding. Sunny. 75 degrees F approx. at Asheville arboretum. Near visitor center building.",Yoginitara (116624),,,12/07/2020 13:18:10
1169029,Speyeria diana,F,07/10/2018,07/11/2018,Photograph,butterfly,Resident,Pulaski CountyUnited StatesArkansas,34.66939583909801,-92.42881217670896,point record,,Temperature was around 98 degrees F.  Partly cloudy and humid.  The butterfly was large and enjoying the Echinacea.  She flew away fairly quickly when approached within 10 feet.,edfries42 (116756),,,07/11/2018 06:50:09
1173350,Speyeria diana,F,07/24/2018,07/27/2018,Photograph,butterfly,Resident,Sequatchie CountyUnited StatesTennessee,35.356827,-85.2695895,point record,,,lilkriskattn (17932),,,07/27/2018 10:42:23
1174590,Speyeria diana,M,07/29/2018,07/30/2018,Photograph,butterfly,Resident,Carter CountyTennesseeUnited States,36.433333,-82.133333,point record,,,ChrissyL (106439),,,10/09/2018 10:21:26
1175309,Speyeria diana,M,07/31/2018,08/02/2018,Photograph,butterfly,Resident,Carter CountyUnited StatesTennessee,36.449204,-82.11021849999997,point record,,,ChrissyL (106439),,,08/02/2018 20:05:12
1175326,Speyeria diana,M,07/31/2018,08/02/2018,Photograph,butterfly,Resident,Sullivan CountyUnited StatesTennessee,36.4318572,-82.13753050000003,point record,,,ChrissyL (106439),,,08/02/2018 19:41:40
1178688,Speyeria diana,F,08/12/2018,08/13/2018,Photograph,butterfly,Resident,Carter CountyUnited StatesTennessee,36.4379742,-82.07916169999999,point record,,,ChrissyL (106439),,,08/13/2018 16:15:27
1178691,Speyeria diana,F,08/12/2018,08/13/2018,Photograph,butterfly,Resident,Carter CountyUnited StatesTennessee,36.449204,-82.11021849999997,point record,,,ChrissyL (106439),,,08/13/2018 16:17:04
1178692,Speyeria diana,M,08/12/2018,08/13/2018,Photograph,butterfly,Resident,Carter CountyUnited StatesTennessee,36.436587234033524,-82.13045479759325,point record,,,ChrissyL (106439),,,08/13/2018 16:16:19
1178740,Speyeria diana,M,08/12/2018,08/13/2018,Photograph,butterfly,Resident,Carter CountyUnited StatesTennessee,36.4576093,-82.0773873,point record,,,ChrissyL (106439),,,08/13/2018 16:19:50
1179232,Speyeria diana,F,08/24/2017,08/17/2018,Photograph,butterfly,Resident,Laurel CountyUnited StatesKentucky,37.06538185257991,-84.19973373413086,point record,"General location, not exact.","Butterfly observed along a forest service gravel road in the Daniel Boone National Forest near the Cold Hill area of Laurel County, Kentucky, near London.  ",Altizer Photography (118743),,,08/17/2018 15:21:35
1181537,Speyeria diana,M,06/21/2011,08/21/2018,Photograph,butterfly,Resident,Oconee CountySouth CarolinaUnited States,34.7246563,-83.15764260000003,point record,"Andrew Pickens District, Sumter National Forest",ragged male ,Dennis Forsythe (116027),,,08/21/2018 05:54:43
1181538,Speyeria diana,M,06/06/2012,08/21/2018,Photograph,butterfly,Resident,Greenville CountyUnited StatesSouth Carolina,35.08216,-82.59357499999999,point record,,fresh male,Dennis Forsythe (116027),,,08/21/2018 06:02:42
1182433,Speyeria diana,F,08/23/2018,08/24/2018,Photograph,butterfly,Resident,Sevier CountyUnited StatesTennessee,35.66303406749481,-83.59007611892162,point record,Observed along gravel road leading to the site of the former Wonderland Hotel.,"On Obedient plant (Physostegia virginiana), the only butterfly of this species observed.",kplaas (105586),,,08/24/2018 15:18:41
1182581,Speyeria diana,F,09/03/2011,11/02/2018,Photograph,butterfly,Resident,United StatesGeorgiaPolk County,33.947278,-85.20525599999996,point record,,"Diana Fritillary is often seen in the Talledega NF, AL near Lester WMA in Polk County, GA, which borders Alabama.",Pierre Howard (102),,,11/02/2018 13:28:38
1182684,Speyeria diana,F,08/23/2018,08/25/2018,Photograph,butterfly,Resident,Oconee CountySouth CarolinaUnited States,34.754320714067894,-83.23376434116454,point record,"Spy Rock (FS 748) Rd, Andrew Pickens District, Sumter NF",one of 3 females and one male seen along this road,Dennis Forsythe (116027),,,08/25/2018 14:42:46
1187768,Speyeria diana,M,07/13/2018,01/04/2021,Photograph,butterfly,Resident,United StatesVirginiaAlleghany County,37.833393535989,-79.89559865854301,point record,,,treichard (19120),,,01/04/2021 12:00:13
1191936,Speyeria diana,M,09/14/2018,10/13/2018,Photograph,butterfly,Resident,Saline CountyUnited StatesArkansas,34.6374655,-92.85108230000003,point record,,Female feeding on Zinnia.,HSVGardenGirl (121708),,,10/13/2018 20:32:07
1200808,Speyeria diana,M,06/14/2018,03/19/2019,Photograph,butterfly,Resident,Cocke CountyTennesseeUnited States,35.7888776,-83.2233531,point record,,male duo on buddleia,stomlins701 (18066),,,03/19/2019 00:06:55
1200809,Speyeria diana,F,06/16/2018,03/19/2019,Photograph,butterfly,Resident,Cocke CountyTennesseeUnited States,35.7888776,-83.2233531,point record,,female on buddleia,stomlins701 (18066),,,03/19/2019 00:09:33
1200810,Speyeria diana,M,06/14/2018,03/19/2019,Photograph,butterfly,Resident,Cocke CountyTennesseeUnited States,35.7888776,-83.2233531,point record,,male on buddleia and sunning on fence,stomlins701 (18066),,,03/19/2019 00:15:10
1200818,Speyeria diana,F,08/20/2018,03/19/2019,Photograph,butterfly,Resident,Cocke CountyTennesseeUnited States,35.7888776,-83.2233531,point record,,on buddleia,stomlins701 (18066),,,03/19/2019 00:43:31
1200819,Speyeria diana,F,08/23/2018,03/19/2019,Photograph,butterfly,Resident,Cocke CountyTennesseeUnited States,35.7888776,-83.2233531,point record,,on joe pye weed,stomlins701 (18066),,,03/19/2019 00:45:33
1208105,Speyeria diana,M,06/01/2019,06/05/2019,Photograph,butterfly,Resident,United StatesTennesseeScott County,36.5534768,-84.52351420000002,point record,,Feeding on Gallaria front of house.,steve.hoppin (118551),,,06/05/2019 13:12:35
1208746,Speyeria diana,M,06/08/2019,06/09/2019,Photograph,butterfly,Resident,United StatesAlabamaCleburne County,33.78747527436549,-85.56179846621052,point record,,,lmreid71 (1302),,,06/09/2019 20:08:49
1209468,Speyeria diana,F,06/07/2019,06/14/2019,Photograph,butterfly,Resident,United StatesGeorgiaFannin County,34.9260462,-84.45387779999999,point record,"3 miles from the cohutta wilderness, south west of Epworth Georgia.",,Janjerry (125749),,,06/14/2019 06:37:27
1210776,Speyeria diana,M,06/20/2019,12/06/2020,Photograph,butterfly,Resident,United StatesNorth CarolinaCherokee County,35.1961423,-84.08108870000001,point record,13.5 miles northwest of Murphy,The butterfly was hanging around the chairs in our pavilion which backs up to the forest and overlooks the pond.  There are many wild violet plants in the area.,Spiritheart (126113),,,12/06/2020 08:55:25
1212118,Speyeria diana,M,06/26/2019,01/04/2021,Photograph,butterfly,Resident,United StatesVirginiaWashington County,36.6411211,-81.66925320000001,point record,,,mooreshells (126463),,,01/04/2021 10:25:02
1212518,Speyeria diana,M,06/22/2019,06/29/2019,Photograph,butterfly,Resident,United StatesTennesseeMarion County,35.14012515937234,-85.42762756347656,point record,,,J. Trapnell (113995),,,06/29/2019 11:46:24
1212958,Speyeria diana,M,06/29/2019,06/29/2019,Photograph,butterfly,Resident,United StatesTennesseeCarter County,36.433333,-82.133333,point record,,,ChrissyL (106439),,,06/29/2019 20:20:09
1213217,Speyeria diana,M,07/01/2019,07/02/2019,Photograph,butterfly,Resident,United StatesTennesseeBlount County,35.639243389650396,-83.78854893123611,point record,"Deer Run Drive, Louisville Tn",Male nectaring on Butterfly Bush.,Audrey R Hoff (482),,,07/02/2019 20:45:13
1217247,Speyeria diana,M,07/16/2019,07/22/2019,Photograph,butterfly,Resident,United StatesTennesseeCarter County,36.433333,-82.133333,point record,,,ChrissyL (106439),,,07/22/2019 06:24:25
1217251,Speyeria diana,M,07/16/2019,07/22/2019,Photograph,butterfly,Resident,United StatesTennesseeCarter County,36.433333,-82.133333,point record,,,ChrissyL (106439),,,07/22/2019 06:23:48
1217253,Speyeria diana,M,07/16/2019,07/22/2019,Photograph,butterfly,Resident,United StatesTennesseeCarter County,36.433333,-82.133333,point record,,,ChrissyL (106439),,,07/22/2019 06:25:02
1219077,Speyeria diana,M,07/23/2019,07/27/2019,Photograph,butterfly,Resident,United StatesTennesseeCarter County,36.433333,-82.133333,point record,,,ChrissyL (106439),,,07/27/2019 10:04:52
1220047,Speyeria diana,F,07/26/2019,07/27/2019,Photograph,butterfly,Resident,United StatesTennesseeCarter County,36.3953066,-82.12276689999999,point record,,,ChrissyL (106439),,,07/27/2019 09:50:15
1220048,Speyeria diana,M,07/26/2019,07/27/2019,Photograph,butterfly,Resident,United StatesTennesseeCarter County,36.3953066,-82.12276689999999,point record,,,ChrissyL (106439),,,07/27/2019 09:49:41
1220950,Speyeria diana,M,06/04/2019,08/02/2019,Photograph,butterfly,Resident,United StatesTennesseeBlount County,35.598258312716546,-83.84372630864175,point record,Approximately 150 feet north of Elijah Oliver Trail,Observed feeding on Butterfly weed in field opposite the Elijah Oliver parking area and about 150 feet north of the Elijah Oliver Trail,webielenberg (4968),,,08/02/2019 18:11:23
1222522,Speyeria diana,M,08/03/2019,08/06/2019,Photograph,butterfly,Resident,United StatesTennesseeCarter County,36.3953066,-82.12276689999999,point record,,,ChrissyL (106439),,,08/06/2019 16:33:35
1233804,Speyeria diana,F,09/16/2019,09/18/2019,Photograph,butterfly,Resident,United StatesTennesseeScott County,36.5534535,-84.52346299999999,point record,,,steve.hoppin (118551),,,09/18/2019 17:48:14
1241412,Speyeria diana,M,06/14/2019,03/02/2020,Photograph,butterfly,Resident,United StatesTennesseePutnam County,36.10297709093599,-85.19932248765994,point record,"Info given in observation notes earlier. Approx 5 miles southeast of Monterey, TN. Dripping Springs Rd is accessible from Hwy 70N or Hwy 62. The north boundary of the farm (where point it located) is the county line between Cumberland and Putnam counties.","Three male Diana Fritillaries were present on thistle at edge of field on farm in northwest Cumberland County, TN. 1736 Dripping Springs Rd, Monterey, TN. Cumberland/Putnam County line. Parts of the farm are in the Conservation Reserve Program (USDA).",Jdowlen (132891),,,03/02/2020 18:08:10
1251655,Speyeria diana,M,06/04/2020,06/05/2020,Photograph,butterfly,Resident,Franklin CountyArkansasUnited States,35.3355247,-94.0383803,point record,,nectaring prairie coneflowers,CA Ivy (16816),,,06/05/2020 03:09:12
1255423,Speyeria diana,M,06/22/2020,06/29/2020,Photograph,butterfly,Resident,United StatesTennesseeSevier County,35.68023708247605,-83.4625768661499,point record,It was seen near the parking area and restrooms next to the trailhead for Trillium Gap on the Roaring Fork Motor Nature Trail.,"Weather was clear, warm (78F), and humid (80%).",Jerilyn.Swann (135947),,,06/29/2020 16:41:06
1255822,Speyeria diana,F,07/01/2018,06/29/2020,Photograph,butterfly,Resident,United StatesTennesseeMarion County,35.071256,-85.37002389999999,point record,,,schaarschmidt (134580),,,06/29/2020 16:36:39
1255824,Speyeria diana,M,06/16/2018,06/29/2020,Photograph,butterfly,Resident,United StatesTennesseeMarion County,35.1326908,-85.4191739,point record,,,schaarschmidt (134580),,,06/29/2020 16:36:13
1258003,Speyeria diana,M,07/04/2020,07/25/2020,Photograph,butterfly,Resident,United StatesTennesseeSullivan County,36.5996251,-81.9236279,point record,,,ChrissyL (106439),,,07/25/2020 08:03:25
1258563,Speyeria diana,M,06/27/2020,12/30/2020,Photograph,butterfly,Resident,United StatesVirginiaPatrick County,36.762920189630364,-80.18444283806775,point record,,,Ben R. Williams (136529),,,12/30/2020 14:22:35
1269279,Speyeria diana,F,07/15/2020,08/22/2020,Photograph,butterfly,Resident,United StatesTennesseeFranklin County,35.20338650351387,-85.93773876662597,point record,Midway point of Bridal Veil Falls Hiking Trail Sewanee TN,"Observed on hike in forested area with low foliage, resting on leaves. ",sbcsmith-rickboeth (129763),,,08/22/2020 08:29:37
1269281,Speyeria diana,M,07/15/2020,08/22/2020,Photograph,butterfly,Resident,United StatesTennesseeGrundy County,35.241983999999995,-85.83905279999999,point record,,"Resting in tree, flying to Butterfly Garden, and resting in grass. ",sbcsmith-rickboeth (129763),,,08/22/2020 08:28:39
